term;category;occurrences;contexts;sourceFiles;sampleLocators;preferredTranslation;notes
A Brief Survey of Goblins;book_title;1;UI/system text;lang/book_names.json;root.book_names.A Brief Survey of Goblins;Короткий Огляд Гоблінів;
Assessing the ZAP Brigade;book_title;1;UI/system text;lang/book_names.json;root.book_names.Assessing the ZAP Brigade;Оцінка Бригади ЗАП;
Bottle Book;book_title;1;UI/system text;lang/book_names.json;root.book_names.Bottle Book;Книга Про Пляшки;
Cave Beasts;book_title;1;UI/system text;lang/book_names.json;root.book_names.Cave Beasts;Печерні Звірі;
Character Attributes;book_title;1;UI/system text;lang/book_names.json;root.book_names.Character Attributes;Атрибути Персонажа;
Citadel Servant FAQ;book_title;1;UI/system text;lang/book_names.json;root.book_names.Citadel Servant FAQ;Поширені Запитання Слуги Цитаделі;
Concerning the Undead;book_title;1;UI/system text;lang/book_names.json;root.book_names.Concerning the Undead;Про Нежить;
Controlling Goblins;book_title;1;UI/system text;lang/book_names.json;root.book_names.Controlling Goblins;Керування Гоблінами;
Dethroning Herx;book_title;1;UI/system text;lang/book_names.json;root.book_names.Dethroning Herx;Повалення Херкса;
How to be Strong;book_title;1;UI/system text;lang/book_names.json;root.book_names.How to be Strong;Як Бути Сильним;
Lost Journal;book_title;1;UI/system text;lang/book_names.json;root.book_names.Lost Journal;Загублений Щоденник;
Miner's Christmas;book_title;1;UI/system text;lang/book_names.json;root.book_names.Miner's Christmas;Різдво Шахтаря;
Mining My Soul;book_title;1;UI/system text;lang/book_names.json;root.book_names.Mining My Soul;Видобуваючи Мою Душу;
My Journal;book_title;1;UI/system text;lang/book_names.json;root.book_names.My Journal;Мій Щоденник;
Newspaper Clipping;book_title;1;UI/system text;lang/book_names.json;root.book_names.Newspaper Clipping;Газетна Вирізка;
On Giantism, Vol 1;book_title;1;UI/system text;lang/book_names.json;root.book_names.On Giantism, Vol 1;Про Гігантизм, Т. 1;
On Giantism, Vol 2;book_title;1;UI/system text;lang/book_names.json;root.book_names.On Giantism, Vol 2;Про Гігантизм, Т. 2;
Poem of the Mines;book_title;1;UI/system text;lang/book_names.json;root.book_names.Poem of the Mines;Поема Шахт;
Sightings of the Lich;book_title;1;UI/system text;lang/book_names.json;root.book_names.Sightings of the Lich;Появи Ліча;
Surviving the Mines;book_title;1;UI/system text;lang/book_names.json;root.book_names.Surviving the Mines;Як Вижити В Шахтах;
The Adventurer Who Went To Hell;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Adventurer Who Went To Hell;Авантюрист, Який Потрапив До Пекла;
The Art of Mine Warfare;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Art of Mine Warfare;Мистецтво Шахтної Війни;
The Campaign;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Campaign;Кампанія;
The Flying Minecart;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Flying Minecart;Летюча Вагонетка;
The History of Baron Herx;book_title;1;UI/system text;lang/book_names.json;root.book_names.The History of Baron Herx;Історія Барона Херкса;
The Lusty Goblin Maid;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Lusty Goblin Maid;Хтива Гоблінська Служниця;
The Meaning of the Labyrinth;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Meaning of the Labyrinth;Сенс Лабіринту;
The Pirate King;book_title;1;UI/system text;lang/book_names.json;root.book_names.The Pirate King;Король Піратів;
To Emily;book_title;1;UI/system text;lang/book_names.json;root.book_names.To Emily;Для Емілі;
Winny's Report;book_title;1;UI/system text;lang/book_names.json;root.book_names.Winny's Report;Звіт Вінні;
Worker's Journal, Entry 1;book_title;1;UI/system text;lang/book_names.json;root.book_names.Worker's Journal, Entry 1;Щоденник Робітника, Запис 1;
Worker's Journal, Entry 2;book_title;1;UI/system text;lang/book_names.json;root.book_names.Worker's Journal, Entry 2;Щоденник Робітника, Запис 2;
Worker's Journal, Entry 3;book_title;1;UI/system text;lang/book_names.json;root.book_names.Worker's Journal, Entry 3;Щоденник Робітника, Запис 3;
Worker's Journal, Entry 4;book_title;1;UI/system text;lang/book_names.json;root.book_names.Worker's Journal, Entry 4;Щоденник Робітника, Запис 4;
ac;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.ac.@key;;
alchemy skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.alchemy skill.@key;;
alembic;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.alembic.@key;;
algernon;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.algernon.@key;;
arbalest;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.arbalest.@key;;
arcane boulder;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.arcane boulder.@key;;
arcane citadel;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.arcane citadel.@key;;
arrow trap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.arrow trap.@key;;
artemisia;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.artemisia.@key;;
assist shrine;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.assist shrine.@key;;
automaton;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.automaton.@key;;
axe skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.axe skill.@key;;
axes;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.axes.@key;;
backpacks;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.backpacks.@key;;
backstabs;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.backstabs.@key;;
baratheon;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.baratheon.@key;;
bat;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.bat.@key;;
beartrap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.beartrap.@key;;
bell;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.bell.@key;;
blessings;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.blessings.@key;;
blocking;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.blocking.@key;;
blocking skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.blocking skill.@key;;
blood vials;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.blood vials.@key;;
bolas;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.bolas.@key;;
