term;assetType;occurrences;contexts;sourceFiles;sampleLocators;keepOriginal;notes
fonts/kongtext.ttf#16#2;font;20;game data text;data/scripts/tutorial_hub/script.json;data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_huba.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubb.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubc.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubd.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hube.attributes.font;true;
fonts/pixel_maz_multiline.ttf#16#2;font;6;game data text;data/scripts/tutorial_hub/script.json;data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubz.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubab.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubac.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_hubad.attributes.font | data/scripts/tutorial_hub/script.json::root.script_entries.tutorial_class.attributes.font;true;
fonts/pixelmix.ttf#16#2;font;155;game data text;data/scripts/dungeon_signs/script.json | data/scripts/tutorial1/script.json | data/scripts/tutorial2/script.json | data/scripts/tutorial3/script.json | data/scripts/tutorial4/script.json | data/scripts/tutorial5/script.json | data/scripts/tutorial_hub/script.json | data/status_effects.json;data/scripts/dungeon_signs/script.json::root.script_entries.bastille_exit.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.gatehouse_exit.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.gatehouse_autos.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.gatehouse_hint.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.gatehouse_hint2.attributes.font;true;
fonts/scream.ttf#16#2;font;8;game data text;data/scripts/dungeon_signs/script.json;data/scripts/dungeon_signs/script.json::root.script_entries.dont_pull.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.curses.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.frat_pzr.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.frat_pzr_basileus.attributes.font | data/scripts/dungeon_signs/script.json::root.script_entries.frat_sky.attributes.font;true;
#*images/ui/CalloutWheel/icons/btn_player_check.png;image;4;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[0].path | data/callout_wheel.json::root.icons[1].path | data/callout_wheel.json::root.icons[2].path | data/callout_wheel.json::root.icons[3].path;true;
#*images/ui/CalloutWheel/icons/btn_player_check_hover.png;image;4;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[0].path_hover | data/callout_wheel.json::root.icons[1].path_hover | data/callout_wheel.json::root.icons[2].path_hover | data/callout_wheel.json::root.icons[3].path_hover;true;
#*images/ui/CalloutWheel/icons/btn_player_down.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[8].path;true;
#*images/ui/CalloutWheel/icons/btn_player_down_hover.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[8].path_hover;true;
#*images/ui/CalloutWheel/icons/btn_player_help.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[4].path;true;
#*images/ui/CalloutWheel/icons/btn_player_help_hover.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[4].path_hover;true;
#*images/ui/CalloutWheel/icons/btn_player_point.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[5].path;true;
#*images/ui/CalloutWheel/icons/btn_player_point_hover.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[5].path_hover;true;
#*images/ui/CalloutWheel/icons/btn_player_up.png;image;2;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[6].path | data/callout_wheel.json::root.icons[7].path;true;
#*images/ui/CalloutWheel/icons/btn_player_up_hover.png;image;2;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.icons[6].path_hover | data/callout_wheel.json::root.icons[7].path_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_E.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[6].path;true;
#*images/ui/CalloutWheel/panels/cmd_player_E_h.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[6].path_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_E_u.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[6].path_locked;true;
#*images/ui/CalloutWheel/panels/cmd_player_E_uh.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[6].path_locked_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_N.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[0].path;true;
#*images/ui/CalloutWheel/panels/cmd_player_NE.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[7].path;true;
#*images/ui/CalloutWheel/panels/cmd_player_NE_h.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[7].path_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_NE_u.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[7].path_locked;true;
#*images/ui/CalloutWheel/panels/cmd_player_NE_uh.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[7].path_locked_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_NW.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[1].path;true;
#*images/ui/CalloutWheel/panels/cmd_player_NW_h.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[1].path_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_NW_u.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[1].path_locked;true;
#*images/ui/CalloutWheel/panels/cmd_player_NW_uh.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[1].path_locked_hover;true;
#*images/ui/CalloutWheel/panels/cmd_player_N_h.png;image;1;game data text, technical comment;data/callout_wheel.json;data/callout_wheel.json::root.panels[0].path_hover;true;
